InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536366,22197,POPCORN HOLDER,59,01/01/2025 09:23,0.91,17531,United Kingdom
536366,20725,LUNCH BAG RED RETROSPOT,47,01/01/2025 09:23,1.77,17531,United Kingdom
536366,22423,REGENCY CAKESTAND 3 TIER,15,01/01/2025 09:23,12.77,17531,United Kingdom
536366,84879,ASSORTED COLOUR BIRD ORNAMENT,35,01/01/2025 09:23,1.6,17531,United Kingdom
536367,22720,SET OF 3 CAKE TINS PANTRY DESIGN,85,01/01/2025 10:14,5.17,17092,United Kingdom
536367,22086,PAPER CHAIN KIT 50'S CHRISTMAS,22,01/01/2025 10:14,3.03,17092,United Kingdom
536367,47566,PARTY BUNTING,76,01/01/2025 10:14,4.84,17092,United Kingdom
536368,22386,JUMBO BAG PINK POLKADOT,23,01/01/2025 11:26,1.85,17233,United Kingdom
536368,22197,POPCORN HOLDER,90,01/01/2025 11:26,0.78,17233,United Kingdom
536368,22423,REGENCY CAKESTAND 3 TIER,89,01/01/2025 11:26,11.48,17233,United Kingdom
536368,22386,JUMBO BAG PINK POLKADOT,85,01/01/2025 11:26,1.95,17233,United Kingdom
536369,20727,LUNCH BAG WOODLAND,69,01/01/2025 13:04,1.79,13268,United Kingdom
536370,22086,PAPER CHAIN KIT 50'S CHRISTMAS,92,01/01/2025 14:41,2.8,15488,United Kingdom
536371,22386,JUMBO BAG PINK POLKADOT,35,01/01/2025 15:38,2.09,13223,United Kingdom
536372,22386,JUMBO BAG PINK POLKADOT,98,01/01/2025 16:18,1.94,16952,United Kingdom
536373,22423,REGENCY CAKESTAND 3 TIER,29,01/01/2025 17:53,11.79,16282,Germany
536373,22423,REGENCY CAKESTAND 3 TIER,42,01/01/2025 17:53,12.95,16282,Germany
536374,20727,LUNCH BAG WOODLAND,11,01/01/2025 19:49,1.67,16594,United Kingdom
536375,47566,PARTY BUNTING,49,01/01/2025 21:37,5.27,14242,United Kingdom
536375,POST,POSTAGE,72,01/01/2025 21:37,18.46,14242,United Kingdom
536375,POST,POSTAGE,56,01/01/2025 21:37,17.12,14242,United Kingdom
536375,23084,RABBIT NIGHT LIGHT,97,01/01/2025 21:37,1.8,14242,United Kingdom
536375,22197,POPCORN HOLDER,67,01/01/2025 21:37,0.8,14242,United Kingdom
536376,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,01/01/2025 23:10,2.67,15269,Portugal
536376,85099B,JUMBO BAG RED RETROSPOT,85,01/01/2025 23:10,1.98,15269,Portugal
536376,22386,JUMBO BAG PINK POLKADOT,25,01/01/2025 23:10,2.11,15269,Portugal
536376,20725,LUNCH BAG RED RETROSPOT,36,01/01/2025 23:10,1.69,15269,Portugal
536377,22720,SET OF 3 CAKE TINS PANTRY DESIGN,88,01/02/2025 00:28,5.41,16778,United Kingdom
536377,85099B,JUMBO BAG RED RETROSPOT,98,01/02/2025 00:28,1.9,16778,United Kingdom
536378,22423,REGENCY CAKESTAND 3 TIER,61,01/02/2025 01:54,11.65,13071,United Kingdom
536378,84879,ASSORTED COLOUR BIRD ORNAMENT,55,01/02/2025 01:54,1.55,13071,United Kingdom
536378,84879,ASSORTED COLOUR BIRD ORNAMENT,62,01/02/2025 01:54,1.63,13071,United Kingdom
536379,20725,LUNCH BAG RED RETROSPOT,68,01/02/2025 03:54,1.66,17093,United Kingdom
536379,84997D,CHILDRENS CUTLERY POLKADOT PINK,31,01/02/2025 03:54,3.93,17093,United Kingdom
536380,47566,PARTY BUNTING,39,01/02/2025 04:31,5.43,17864,United Kingdom
536380,84997D,CHILDRENS CUTLERY POLKADOT PINK,66,01/02/2025 04:31,3.98,17864,United Kingdom
536380,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,01/02/2025 04:31,2.69,17864,United Kingdom
536380,47566,PARTY BUNTING,80,01/02/2025 04:31,5.01,17864,United Kingdom
536380,47566,PARTY BUNTING,33,01/02/2025 04:31,4.8,17864,United Kingdom
536381,22720,SET OF 3 CAKE TINS PANTRY DESIGN,22,01/02/2025 05:49,5.39,14614,United Kingdom
536381,23084,RABBIT NIGHT LIGHT,86,01/02/2025 05:49,1.78,14614,United Kingdom
536382,20727,LUNCH BAG WOODLAND,15,01/02/2025 07:48,1.5,16982,United Kingdom
536382,20725,LUNCH BAG RED RETROSPOT,82,01/02/2025 07:48,1.63,16982,United Kingdom
536382,22960,JAM MAKING SET WITH JARS,91,01/02/2025 07:48,3.68,16982,United Kingdom
536382,84997D,CHILDRENS CUTLERY POLKADOT PINK,9,01/02/2025 07:48,3.86,16982,United Kingdom
536382,23084,RABBIT NIGHT LIGHT,18,01/02/2025 07:48,1.64,16982,United Kingdom
536383,20727,LUNCH BAG WOODLAND,26,01/02/2025 08:32,1.81,13810,United Kingdom
536383,22386,JUMBO BAG PINK POLKADOT,60,01/02/2025 08:32,1.86,13810,United Kingdom
536383,84997D,CHILDRENS CUTLERY POLKADOT PINK,16,01/02/2025 08:32,3.93,13810,United Kingdom
536383,84997D,CHILDRENS CUTLERY POLKADOT PINK,66,01/02/2025 08:32,3.84,13810,United Kingdom
536383,84879,ASSORTED COLOUR BIRD ORNAMENT,69,01/02/2025 08:32,1.84,13810,United Kingdom
536384,22720,SET OF 3 CAKE TINS PANTRY DESIGN,29,01/02/2025 09:35,4.59,14208,United Kingdom
536385,84879,ASSORTED COLOUR BIRD ORNAMENT,45,01/02/2025 09:52,1.75,15086,France
